,word,state
0,Nil,Nil
1,Nil,Nil
2,HBO,B-NP
3,has,B-VP
4,close,B-NP
5,to,I-NP
6,24,I-NP
7,million,I-NP
8,subscribers,I-NP
9,to,B-PP
10,its,B-NP
11,HBO,I-NP
12,and,I-NP
13,Cinemax,I-NP
14,networks,I-NP
15,",",O
16,while,B-SBAR
17,Showtime,B-NP
18,and,O
19,its,B-NP
20,sister,I-NP
21,service,I-NP
22,",",O
23,The,B-NP
24,Movie,I-NP
25,Channel,I-NP
26,",",O
27,have,B-VP
28,only,B-NP
29,about,I-NP
30,10,I-NP
31,million,I-NP
32,",",O
33,according,B-PP
34,to,B-PP
35,Paul,B-NP
36,Kagan,I-NP
37,Associates,I-NP
38,",",O
39,a,B-NP
40,Carmel,I-NP
41,",",I-NP
42,Calif.,I-NP
43,",",I-NP
44,research,I-NP
45,firm,I-NP
46,Nil,Nil
47,.,O
48,Nil,Nil
49,WASHINGTON,B-NP
50,LIES,B-VP
51,LOW,B-ADVP
52,after,B-PP
53,the,B-NP
54,stock,I-NP
55,market,I-NP
56,'s,B-NP
57,roller-coaster,I-NP
58,Nil,Nil
59,ride,I-NP
60,.,O
61,Nil,Nil
62,This,B-NP
63,may,B-VP
64,seem,I-VP
65,to,I-VP
66,be,I-VP
67,a,B-NP
68,preposterous,I-NP
69,and,I-NP
70,utterly,I-NP
71,futile,I-NP
72,effort,I-NP
73,Nil,Nil
74,in,B-PP
75,Africa,B-NP
76,.,O
77,Nil,Nil
78,American,B-NP
79,Express,I-NP
80,Bank,I-NP
81,earnings,I-NP
82,fell,B-VP
83,50,B-NP
84,%,I-NP
85,to,B-PP
86,$,B-NP
87,21.3,I-NP
88,million,I-NP
89,from,B-PP
90,$,B-NP
91,42.5,I-NP
92,million,I-NP
93,despite,B-PP
94,a,B-NP
95,29,I-NP
96,Nil,Nil
97,%,I-NP
98,revenue,I-NP
99,gain,I-NP
100,.,O
101,Nil,Nil
102,Californians,B-NP
103,",",O
104,meanwhile,B-ADVP
105,",",O
106,tried,B-VP
107,to,I-VP
108,cope,I-VP
109,with,B-PP
110,still-limited,B-NP
111,services,I-NP
112,",",O
113,blocked,B-NP
114,roadways,I-NP
115,and,O
116,water,B-NP
117,shortages,I-NP
118,in,B-PP
119,the,B-NP
120,aftermath,I-NP
121,of,B-PP
122,the,B-NP
123,tremor,I-NP
124,that,B-NP
125,left,B-VP
126,Nil,Nil
127,scores,B-NP
128,dead,B-ADJP
129,and,I-ADJP
130,injured,I-ADJP
131,.,O
132,Nil,Nil
133,This,B-NP
134,year,I-NP
135,",",O
136,a,B-NP
137,number,I-NP
138,of,B-PP
139,retail,B-NP
140,leveraged,I-NP
141,buyouts,I-NP
142,have,B-VP
143,failed,I-VP
144,",",O
145,causing,B-VP
146,jitters,B-NP
147,among,B-PP
148,suppliers,B-NP
149,",",O
150,and,O
151,Mr.,B-NP
152,Merksamer,I-NP
153,apparently,B-ADVP
154,wanted,B-VP
155,assurances,B-NP
156,that,B-SBAR
157,he,B-NP
158,Nil,Nil
159,wo,B-VP
160,n't,I-VP
161,have,I-VP
162,delivery,B-NP
163,problems,I-NP
164,Nil,Nil
165,.,O
166,Nil,Nil
167,Mr.,B-NP
168,Juliano,I-NP
